,user_id,birth_year,country,city,created_date,user_settings_crypto_unlocked,plan,attributes_notifications_marketing_push,attributes_notifications_marketing_email,num_contacts,num_referrals,num_successful_referrals
count,15544,15544.0,15544,15544,15544,15544.0,15544,10284.0,10284.0,15544.0,15544.0,15544.0
unique,15544,,40,5197,,,3,,,,,
top,user_15543,,GB,London,,,STANDARD,,,,,
freq,1,,5018,1342,,,14394,,,,,
mean,,1983.6666237776635,,,2018-07-23 15:06:30.181476608,0.18238548636129695,,0.9482691559704395,0.8954686892259821,17.87422799794133,0.0,0.0
min,,1929.0,,,2018-01-01 08:42:24.799709,0.0,,0.0,0.0,0.0,0.0,0.0
25%,,1977.0,,,2018-04-28 15:23:27.907645952,0.0,,1.0,1.0,0.0,0.0,0.0
50%,,1986.0,,,2018-08-01 20:15:49.682771456,0.0,,1.0,1.0,5.0,0.0,0.0
75%,,1992.0,,,2018-10-23 05:24:22.228233984,0.0,,1.0,1.0,19.0,0.0,0.0
max,,2001.0,,,2019-01-03 07:34:36.638892,1.0,,1.0,1.0,2918.0,0.0,0.0
std,,11.369183973933664,,,,0.38617433216254526,,0.22149386961623133,0.3059634270350991,47.54992913939704,0.0,0.0
