user_settings_crypto_unlocked,attributes_notifications_marketing_push,attributes_notifications_marketing_email,num_contacts,num_referrals,num_successful_referrals,age,trx_count,trx_count_completed,trx_value_completed,trx_value_mean_completed,trx_value_max_completed,trx_success_rate,trx_n_distinct_currency,trx_n_distinct_mcc,trx_n_distinct_country,trx_share_ATM,trx_share_CARD_PAYMENT,trx_share_CARD_REFUND,trx_share_CASHBACK,trx_share_EXCHANGE,trx_share_FEE,trx_share_REFUND,trx_share_TAX,trx_share_TOPUP,trx_share_TRANSFER,trx_dir_INBOUND,trx_dir_OUTBOUND,days_since_last_trx,days_since_first_trx,trx_active_days,notif_count,notif_n_sent,notif_n_failed,notif_send_rate,notif_ch_EMAIL,notif_ch_PUSH,notif_ch_SMS,notif_n_reengagement,tenure_days,plan_GOLD,plan_SILVER,plan_STANDARD,brand_Android,brand_Apple,brand_Unknown,country_CH,country_CY,country_CZ,country_DE,country_ES,country_FR,country_GB,country_GR,country_IE,country_IT,country_LT,country_MT,country_OTHER,country_PL,country_PT,country_RO
0,1,1,3,0,0,27,502.0,479.0,6640.72,13.863716075156576,510.64,0.954183266932271,2.0,19.0,2.0,0.0,0.6235059760956175,0.00199203187250996,0.0,0.0099601593625498,0.0,0.0,0.0,0.32270916334661354,0.04183266932270916,0.3286852589641434,0.6713147410358565,0.0,219.0,142.0,8.0,8.0,0.0,1.0,6.0,2.0,0.0,1.0,219,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,75,0,0,34,129.0,117.0,12806.98,109.46136752136752,851.06,0.9069767441860465,1.0,21.0,6.0,0.03875968992248062,0.5658914728682171,0.0,0.0,0.0,0.0,0.0,0.0,0.20930232558139536,0.18604651162790697,0.2248062015503876,0.7751937984496124,1.0,437.0,60.0,15.0,10.0,5.0,0.6666666666666666,10.0,5.0,0.0,3.0,461,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,71,0,0,23,280.0,266.0,2703.48,10.163458646616542,194.38,0.95,1.0,11.0,2.0,0.0,0.37857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.14642857142857144,0.475,0.16428571428571428,0.8357142857142857,0.0,139.0,64.0,5.0,5.0,0.0,1.0,2.0,3.0,0.0,1.0,139,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,219,0,0,38,143.0,128.0,6296.68,49.1928125,510.64,0.8951048951048951,1.0,30.0,7.0,0.0,0.8601398601398601,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.04895104895104895,0.0979020979020979,0.9020979020979021,3.0,416.0,75.0,11.0,6.0,5.0,0.5454545454545454,5.0,6.0,0.0,5.0,424,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,27,59.0,50.0,981.43,19.6286,200.0,0.847457627118644,3.0,11.0,4.0,0.0,0.711864406779661,0.01694915254237288,0.0,0.06779661016949153,0.0,0.0,0.0,0.2033898305084746,0.0,0.22033898305084745,0.7796610169491526,92.0,405.0,37.0,8.0,7.0,1.0,0.875,4.0,4.0,0.0,3.0,464,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,29,3.0,2.0,40.0,20.0,20.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,231.0,231.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,231,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,77,0,0,21,85.0,76.0,1379.17,18.146973684210526,514.71,0.8941176470588236,1.0,23.0,4.0,0.09411764705882353,0.6823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.1411764705882353,0.08235294117647059,0.15294117647058825,0.8470588235294118,13.0,254.0,48.0,4.0,4.0,0.0,1.0,2.0,2.0,0.0,2.0,277,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,10,0,0,27,914.0,729.0,29265.26,40.14438957475994,1136.16,0.7975929978118161,2.0,52.0,14.0,0.024070021881838075,0.5393873085339168,0.0087527352297593,0.0,0.036105032822757115,0.0,0.0,0.0,0.27461706783369805,0.11706783369803063,0.2899343544857768,0.7100656455142232,0.0,405.0,235.0,8.0,7.0,1.0,0.875,5.0,3.0,0.0,0.0,405,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,42,0,0,27,464.0,431.0,6062.61,14.066380510440835,136.17,0.9288793103448276,2.0,29.0,3.0,0.004310344827586207,0.3857758620689655,0.0,0.0,0.0,0.0021551724137931034,0.0,0.0,0.11853448275862069,0.4892241379310345,0.14224137931034483,0.8577586206896551,1.0,266.0,98.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,266,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,3,0,0,34,67.0,62.0,3185.0,51.37096774193548,300.0,0.9253731343283582,2.0,12.0,1.0,0.1044776119402985,0.3880597014925373,0.0,0.0,0.22388059701492538,0.0,0.0,0.0,0.26865671641791045,0.014925373134328358,0.26865671641791045,0.7313432835820896,61.0,252.0,12.0,13.0,12.0,1.0,0.9230769230769231,5.0,8.0,0.0,6.0,457,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
