user_id,country,plan_GOLD,plan_SILVER,plan_STANDARD,tenure_days,days_since_last_trx,trx_count,churned,snapshot,cutoff
user_0,ES,False,False,True,219,0.0,502.0,0,2019-05-16,2019-04-18
user_1,LT,False,False,True,461,1.0,129.0,0,2019-05-16,2019-04-18
user_2,IE,False,False,True,139,0.0,280.0,0,2019-05-16,2019-04-18
user_3,IE,False,False,True,424,3.0,143.0,0,2019-05-16,2019-04-18
user_4,GB,False,False,True,464,92.0,59.0,1,2019-05-16,2019-04-18
user_5,GB,False,False,True,231,231.0,3.0,1,2019-05-16,2019-04-18
user_6,MT,False,False,True,277,13.0,85.0,1,2019-05-16,2019-04-18
user_7,FR,False,False,True,405,0.0,914.0,0,2019-05-16,2019-04-18
user_8,IE,False,False,True,266,1.0,464.0,0,2019-05-16,2019-04-18
user_9,GB,False,False,True,457,61.0,67.0,1,2019-05-16,2019-04-18
user_10,LT,False,False,True,446,5.0,127.0,0,2019-05-16,2019-04-18
user_11,GB,False,False,True,412,1.0,88.0,0,2019-05-16,2019-04-18
user_12,FR,False,False,True,272,0.0,72.0,0,2019-05-16,2019-04-18
user_13,RO,False,False,True,403,169.0,8.0,1,2019-05-16,2019-04-18
user_14,PL,False,False,True,117,113.0,4.0,1,2019-05-16,2019-04-18
user_15,IE,False,False,True,144,12.0,105.0,0,2019-05-16,2019-04-18
user_16,PL,False,False,True,256,999.0,0.0,1,2019-05-16,2019-04-18
user_17,GB,False,False,True,392,17.0,405.0,1,2019-05-16,2019-04-18
user_18,FR,False,False,True,358,160.0,14.0,1,2019-05-16,2019-04-18
user_19,GB,False,False,True,217,0.0,248.0,0,2019-05-16,2019-04-18
user_20,GB,False,False,True,425,103.0,133.0,1,2019-05-16,2019-04-18
user_21,MT,False,False,True,231,4.0,240.0,0,2019-05-16,2019-04-18
user_22,GB,False,False,True,466,71.0,63.0,1,2019-05-16,2019-04-18
user_23,IE,False,False,True,177,0.0,160.0,0,2019-05-16,2019-04-18
user_24,GB,False,False,True,224,0.0,188.0,0,2019-05-16,2019-04-18
user_25,AT,False,False,True,153,24.0,18.0,1,2019-05-16,2019-04-18
user_26,PL,False,False,True,190,190.0,3.0,1,2019-05-16,2019-04-18
user_27,GB,False,False,True,109,77.0,3.0,1,2019-05-16,2019-04-18
user_28,IT,False,False,True,361,12.0,275.0,0,2019-05-16,2019-04-18
user_29,GB,False,False,True,247,29.0,35.0,0,2019-05-16,2019-04-18
user_30,GB,False,False,True,327,54.0,100.0,1,2019-05-16,2019-04-18
user_31,GB,False,False,True,207,4.0,92.0,1,2019-05-16,2019-04-18
user_32,SI,False,False,True,256,13.0,57.0,1,2019-05-16,2019-04-18
user_33,GB,False,False,True,386,62.0,312.0,1,2019-05-16,2019-04-18
user_34,PL,False,False,True,218,13.0,2.0,1,2019-05-16,2019-04-18
